
2025/02/02 (18:56:38) | ===> btop++ v.1.4.0
2025/02/02 (18:56:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (15:09:37) | ===> btop++ v.1.4.0
2025/02/03 (15:09:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (15:05:31) | ===> btop++ v.1.4.0
2025/02/05 (15:05:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (15:08:42) | ===> btop++ v.1.4.0
2025/02/05 (15:08:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (15:21:41) | ===> btop++ v.1.4.0
2025/02/05 (15:21:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (17:28:45) | ===> btop++ v.1.4.0
2025/02/05 (17:28:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (17:51:54) | ===> btop++ v.1.4.0
2025/02/05 (17:51:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (14:13:44) | ===> btop++ v.1.4.0
2025/02/07 (14:13:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (11:52:02) | ===> btop++ v.1.4.0
2025/02/11 (11:52:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (11:52:17) | ===> btop++ v.1.4.0
2025/02/11 (11:52:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (13:33:20) | ===> btop++ v.1.4.0
2025/02/11 (13:33:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (14:17:23) | ===> btop++ v.1.4.0
2025/02/14 (14:17:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (14:43:38) | ===> btop++ v.1.4.0
2025/02/14 (14:43:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (14:51:45) | ===> btop++ v.1.4.0
2025/02/14 (14:51:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (17:19:07) | ===> btop++ v.1.4.0
2025/02/14 (17:19:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (12:06:32) | ===> btop++ v.1.4.0
2025/02/15 (12:06:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (17:16:44) | ===> btop++ v.1.4.0
2025/02/15 (17:16:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (21:34:12) | ===> btop++ v.1.4.0
2025/02/20 (21:34:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (10:22:51) | ===> btop++ v.1.4.0
2025/02/22 (10:22:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (11:31:58) | ===> btop++ v.1.4.0
2025/02/22 (11:31:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (14:00:41) | ===> btop++ v.1.4.0
2025/02/22 (14:00:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (22:42:16) | ===> btop++ v.1.4.0
2025/02/22 (22:42:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (22:43:35) | ===> btop++ v.1.4.0
2025/02/22 (22:43:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (22:45:05) | ===> btop++ v.1.4.0
2025/02/22 (22:45:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (22:49:36) | ===> btop++ v.1.4.0
2025/02/22 (22:49:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (15:42:49) | ===> btop++ v.1.4.0
2025/02/23 (15:42:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (11:55:09) | ===> btop++ v.1.4.0
2025/02/24 (11:55:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (11:58:41) | ===> btop++ v.1.4.0
2025/02/24 (11:58:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (18:42:40) | ===> btop++ v.1.4.0
2025/02/26 (18:42:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (16:35:45) | ===> btop++ v.1.4.0
2025/02/28 (16:35:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (16:53:19) | ===> btop++ v.1.4.0
2025/02/28 (16:53:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (19:45:45) | ===> btop++ v.1.4.0
2025/02/28 (19:45:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (01:35:46) | ===> btop++ v.1.4.0
2025/03/01 (01:35:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (01:36:07) | ===> btop++ v.1.4.0
2025/03/01 (01:36:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (16:11:16) | ===> btop++ v.1.4.0
2025/03/01 (16:11:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (23:04:04) | ===> btop++ v.1.4.0
2025/03/02 (23:04:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (05:14:45) | ===> btop++ v.1.4.0
2025/03/14 (05:14:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (22:13:51) | ===> btop++ v.1.4.0
2025/03/17 (22:13:51) | WARNING: Intel GPU: Failed to initialize PMU
